Bank,Specialisation,Country,Year,Loans,Assets,Exposure_app,Exposure_pepp,GovSec,GovSec_over_A,Loans_G,Loans_G_H,L_over_A,L_over_A_G,L_over_A_G_H,ROA,Deposits_over_A,Equity_over_A,treat_50,treat_75,treat_50_pepp,treat_75_pepp,app_dummy,pepp_dummy
ATTIJARIWAFA BANK EUROPE SA,Commercial bank,FR,2012,200391,489914,4.921874275,11.20531458,10355,2.113636271,16.60556272,11.35864763,40.9033014,6.246781361,11.33549032,0.172071017,31.52675776,8.694587213,1,0,1,1,0,0
ATTIJARIWAFA BANK EUROPE SA,Commercial bank,FR,2013,160933,533864,4.921874275,11.20531458,5255,0.984333089,-21.92823287,-14.04911743,30.14494328,-10.75835811,-19.21966867,-0.345219007,32.89995205,9.31978931,1,0,1,1,0,0
ATTIJARIWAFA BANK EUROPE SA,Commercial bank,FR,2014,202200,538555,4.921874275,11.20531458,26507,4.921874275,22.82691773,15.74877973,37.54491185,7.399968566,15.12747752,-1.042233384,41.7808766,8.196377343,1,0,1,1,0,0
ATTIJARIWAFA BANK EUROPE SA,Commercial bank,FR,2015,191296,542280,4.921874275,11.20531458,35658,6.575569816,-5.543533992,-3.660927722,35.27624106,-2.268670791,-4.111174565,0.271630892,38.1194217,8.41170613,1,0,1,1,1,0
ATTIJARIWAFA BANK EUROPE SA,Commercial bank,FR,2016,216607,602566,4.921874275,11.20531458,45540,7.557678329,12.4262685,8.448278452,35.94743148,0.671190428,1.260452531,0.224705675,42.39801117,7.794830774,1,0,1,1,1,0
ATTIJARIWAFA BANK EUROPE SA,Commercial bank,FR,2017,180696,784829,4.921874275,11.20531458,46955,5.982831929,-18.12685905,-11.69910899,23.02361406,-12.92381742,-27.23140494,0.523298706,34.89116738,6.507914463,1,0,1,1,1,0
ATTIJARIWAFA BANK EUROPE SA,Commercial bank,FR,2018,117414,707692,4.921874275,11.20531458,45552,6.436698451,-43.11099105,-26.43325272,16.59111591,-6.432498152,-20.53853195,-0.07658699,40.75855033,7.140677018,1,0,1,1,1,0
ATTIJARIWAFA BANK EUROPE SA,Commercial bank,FR,2019,168032,710047,4.921874275,11.20531458,79563,11.20531458,35.84482867,25.12932532,23.66491232,7.073796414,24.88707751,-0.69516525,42.39606674,6.421828414,1,0,1,1,0,0
ATTIJARIWAFA BANK EUROPE SA,Commercial bank,FR,2020,117150,677715,4.921874275,11.20531458,95465,14.08630472,-36.06992725,-22.45385182,17.28602731,-6.37888501,-19.74402509,-0.660011952,42.94460061,6.068185004,1,0,1,1,0,1
AUSTRIAN ANADI BANK AG,Commercial bank,AT,2012,2867415,3861385,6.846743989,4.985724717,193384,5.00815122,-49.10119774,-29.70844216,74.25871805,-7.369541384,-6.205531468,1.245822419,40.79090793,5.126398948,1,0,1,0,0,0
AUSTRIAN ANADI BANK AG,Commercial bank,AT,2013,2618538,3242170,6.846743989,4.985724717,207154,6.38936268,-9.079478028,-5.958722278,80.76498148,6.506263428,5.675326958,0.147185373,36.6392262,4.772143348,1,0,1,0,0,0
AUSTRIAN ANADI BANK AG,Commercial bank,AT,2014,2537123,3207437,6.846743989,4.985724717,219605,6.846743989,-3.158538486,-2.094492307,79.10125748,-1.663723995,-1.382799781,0.019454786,36.14321965,4.734184958,1,0,1,0,0,0
AUSTRIAN ANADI BANK AG,Commercial bank,AT,2015,2264422,3061882,6.846743989,4.985724717,270657,8.83956338,-11.37112232,-7.431893635,73.95523407,-5.146023415,-4.433212707,0.120252838,40.1643499,5.079457667,1,0,1,0,1,0
AUSTRIAN ANADI BANK AG,Commercial bank,AT,2016,2051661,2934010,6.846743989,4.985724717,283395,9.658965034,-9.866982975,-6.466403414,69.92685778,-4.028376287,-3.698517937,0.351941541,50.95851752,5.652196141,1,0,1,0,1,0
AUSTRIAN ANADI BANK AG,Commercial bank,AT,2017,2028744,2893511,6.846743989,4.985724717,225716,7.80076523,-1.123282663,-0.747447924,70.11357482,0.186717041,0.177853456,0.179574227,52.7781301,5.73808083,1,0,1,0,1,0
AUSTRIAN ANADI BANK AG,Commercial bank,AT,2018,2166458,3072280,6.846743989,4.985724717,205726,6.696199565,6.567669355,4.425295464,70.51629409,0.402719265,0.382189128,0.130717252,54.3681891,5.420990274,1,0,1,0,1,0
AUSTRIAN ANADI BANK AG,Commercial bank,AT,2019,2183149,3063687,6.846743989,4.985724717,152747,4.985724717,0.767475403,0.512303054,71.2588786,0.742584512,0.6995896,-0.700104156,57.99495836,4.73609086,1,0,1,0,0,0
AUSTRIAN ANADI BANK AG,Commercial bank,AT,2020,2069510,2566412,6.846743989,4.985724717,152450,5.940199781,-5.345646565,-3.53146023,80.63826073,9.379382132,8.406120721,0.019599347,56.85610884,5.673368111,1,0,1,0,0,1
AXA BANK GMBH,Commercial bank,DE,2012,398740,736103,46.72046218,18.80488232,318278,43.23824247,-6.821913591,-4.495090705,54.16904971,-18.0909292,-18.21029701,0.463250388,76.68695821,8.775945758,1,1,1,1,0,0
